#,Library,Program,Levenshtein_Distance,Cosine_Similarity
1,pandas,bug100.py,33,0.993
2,pandas,bug102.py,9,0.9892
3,pandas,bug105.py,1,1.0
4,pandas,bug106.py,9,0.9412
5,pandas,bug107.py,21,0.9997
6,pandas,bug108.py,1,0.9979
7,pandas,bug110.py,12,0.9753
8,pandas,bug111.py,21,0.9971
9,pandas,bug112.py,1,0.9982
10,pandas,bug115.py,5,0.984
11,pandas,bug117.py,7,0.9601
12,pandas,bug118.py,6,0.9952
13,pandas,bug120.py,52,0.9932
14,pandas,bug121.py,13,0.9866
15,pandas,bug125.py,1,0.9973
16,fastapi,bug1.py,60,0.9994
17,fastapi,bug2.py,8,0.9594
18,fastapi,bug5.py,3,0.9934
19,fastapi,bug7.py,31,0.8719
20,fastapi,bug8.py,67,0.8138
21,fastapi,bug9.py,6,0.9818
22,fastapi,bug10.py,95,0.6403
23,fastapi,bug11.py,30,0.8626
24,fastapi,bug12.py,228,0.4005
25,fastapi,bug13.py,10,0.9982
26,mlib,bug10.py,4,0.9899
27,mlib,bug11.py,397,0.9406
28,mlib,bug12.py,1,1.0
29,mlib,bug14.py,1,0.998
30,mlib,bug17.py,1,0.9973
31,mlib,bug20.py,70,0.9116
32,mlib,bug23.py,16,0.9843
33,mlib,bug25.py,63,0.9498
34,mlib,bug27.py,11,0.9736
35,mlib,bug30.py,33,0.9501
36,keras,bug10.py,1,1.0
37,keras,bug12.py,1,0.9973
38,keras,bug14.py,2,0.9857
39,keras,bug15.py,1,0.9999
40,keras,bug17.py,3,0.9878
41,keras,bug20.py,1,1.0
42,keras,bug23.py,37,0.6613
43,keras,bug27.py,1,0.9973
44,keras,bug34.py,1,0.9999
45,keras,bug40.py,1,0.9998
46,spacy,bug1.py,77,0.7633
47,spacy,bug2.py,1,0.9972
48,spacy,bug3.py,10,0.9865
49,spacy,bug4.py,60,0.9414
50,spacy,bug5.py,15,0.9718
51,spacy,bug6.py,5,0.9807
52,spacy,bug7.py,12,0.9942
53,spacy,bug8.py,1,0.9972
54,spacy,bug9.py,1,0.9972
55,spacy,bug10.py,4,0.9812
